City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
323,Bubaque,GW,11.2833,-15.8333,81.63,77,75,14.79,broken clouds
324,Ambovombe,MG,-25.1667,46.0833,77.49,67,0,6.62,clear sky
325,Parrita,CR,9.5201,-84.3225,87.57,76,72,4.14,broken clouds
326,Merauke,ID,-8.4667,140.3333,79.95,78,100,5.14,overcast clouds
327,Bath,GB,51.3779,-2.3591,42.76,87,10,14.94,clear sky
328,Quelimane,MZ,-17.8786,36.8883,82.35,78,0,12.66,clear sky
329,Sidney,AU,-33.8679,151.2073,73.26,73,75,1.01,broken clouds
330,Pingliang,CN,35.5392,106.6861,34.2,57,100,5.84,overcast clouds
331,Alofi,NU,-19.0595,-169.9187,78.69,83,75,11.5,light intensity shower rain
332,Madimba,TZ,-10.4,40.3333,78.49,85,100,8.23,overcast clouds
333,Kokopo,PG,-4.352,152.2633,80.37,80,100,1.28,overcast clouds
334,Tromso,NO,69.6496,18.957,15.82,67,0,1.99,clear sky
335,Yulara,AU,-25.2406,130.9889,75.04,53,3,12.66,clear sky
336,Khandyga,RU,62.6667,135.6,-18.06,99,100,1.59,overcast clouds
337,Porto Novo,BJ,6.4965,2.6036,84.02,82,83,8.12,broken clouds
338,Gamba,GA,-2.65,10.0,75.09,94,99,5.06,overcast clouds
339,Mbekenyera,TZ,-10.0,38.9833,72.55,92,46,4.5,scattered clouds
340,Mayo,US,38.8876,-76.5119,70.25,67,100,5.01,overcast clouds
341,Prieska,ZA,-29.6641,22.7474,69.67,35,3,5.28,clear sky
342,Adrar,MR,20.5022,-10.0711,64.26,16,99,11.32,overcast clouds
343,Imbituba,BR,-28.24,-48.6703,71.82,89,72,10.13,broken clouds
344,Sorong,ID,-0.8833,131.25,82.36,79,100,7.87,overcast clouds
345,Torbay,CA,47.6666,-52.7314,33.67,76,90,6.91,overcast clouds
346,Bucerias,MX,20.75,-105.3333,80.58,74,40,8.05,scattered clouds
