City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
166,Guerrero Negro,MX,73.67,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
168,Bambous Virieux,MU,78.22,few clouds,-20.3428,57.7575,Casa Tia Villa
169,Chlorakas,CY,63.63,few clouds,34.8042,32.4083,Elysium Hotel
170,Upernavik,GL,18.01,overcast clouds,72.7868,-56.1549,Gina's Guesthouse - Upernavik
172,Dicabisagan,PH,74.53,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
173,Port Hedland,AU,82.45,broken clouds,-20.3167,118.5667,The Esplanade Hotel
174,Hokitika,NZ,55.27,overcast clouds,-42.7167,170.9667,Beachfront Hotel Hokitika
175,Cockburn Town,TC,80.73,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
176,Mogadishu,SO,79.29,overcast clouds,2.0371,45.3438,Hotel Juba
177,Mackay,AU,81.68,overcast clouds,-21.15,149.2,International Lodge Motel
178,Antofagasta,CL,65.5,scattered clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
180,Pangnirtung,CA,12.2,light snow,66.1451,-65.7125,Kilabuk Lodge
181,Vardo,NO,11.95,overcast clouds,70.3705,31.1107,Vardø Hotel AS
182,Ust-Tsilma,RU,11.97,overcast clouds,65.441,52.1498,U Praskov'i
183,Ilulissat,GL,19.42,overcast clouds,69.2167,-51.1,Hotel Arctic
184,Faro,PT,49.78,clear sky,37.0194,-7.9322,Hotel Faro & Beach Club
186,Hithadhoo,MV,81.7,scattered clouds,-0.6,73.0833,Scoop Guest House
188,Bama,NG,73.08,overcast clouds,11.5221,13.6856,UN Humanitarian Hub
189,Point Pleasant,US,64.51,clear sky,40.0832,-74.0682,Point Pleasant Manor
190,Paray-Le-Monial,FR,39.97,mist,46.4546,4.1158,Hostellerie Des Trois Pigeons
191,Anaconda,US,36.77,overcast clouds,46.1285,-112.9423,Trade Wind Motel
192,Luau,AO,64.11,light rain,-10.7073,22.2247,Casa- Bernardo Cândido
194,Bataipora,BR,88.57,scattered clouds,-22.2953,-53.2711,Hotel Vale do Ivinhema
196,Henties Bay,,59.86,clear sky,-22.116,14.2845,Fishermans Guest House
197,Cabo San Lucas,MX,82.51,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
