City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
294,Sept-Iles,CA,50.2001,-66.3821,27.12,96,90,14.0
295,Opole,PL,50.5,18.0,31.84,97,96,4.38
296,Avarua,CK,-21.2078,-159.775,75.25,94,75,8.05
297,Cockburn Town,TC,21.4612,-71.1419,80.73,80,93,19.66
298,York,US,40.1254,-77.0,63.48,83,100,20.51
299,Mana,GF,5.6592,-53.7767,77.52,90,100,10.25
300,Mecca,SA,21.4267,39.8261,74.08,72,0,2.86
301,Ribeira Grande,PT,38.5167,-28.7,64.8,68,75,16.11
302,Homer,US,59.6425,-151.5483,35.49,91,90,12.66
303,Eyl,SO,7.9803,49.8164,74.32,67,7,12.33
304,Burnie,AU,-41.0667,145.9167,54.82,83,97,9.62
305,Cabedelo,BR,-6.9811,-34.8339,79.47,70,4,13.29
306,Colmenar Viejo,ES,40.6591,-3.7676,48.67,80,92,1.28
307,Las Lomas,PA,8.4333,-82.4,85.26,78,20,5.75
308,Surt,LY,31.2089,16.5887,56.93,42,7,30.89
309,Port Augusta,AU,-32.5,137.7667,66.34,63,9,16.49
310,Pahalgam,IN,34.0333,75.3333,20.05,60,0,12.97
311,Sitka,US,57.0531,-135.33,33.69,75,90,4.61
312,Constitucion,CL,-35.3333,-72.4167,60.82,78,62,10.25
313,Umm Kaddadah,SD,13.6017,26.6876,67.19,22,1,11.9
314,Paracatu,BR,-17.2222,-46.8747,70.84,87,60,6.35
315,Sola,VU,-13.8833,167.55,76.39,89,100,8.66
316,Mitu,CO,1.1983,-70.1733,75.97,96,100,0.49
317,Kharitonovo,RU,61.4009,47.4978,-8.86,100,65,4.25
318,Huilong,CN,31.8111,121.655,51.04,81,0,8.95
319,Ostersund,SE,63.1792,14.6357,7.25,85,81,10.36
320,Port-Gentil,GA,-0.7193,8.7815,78.35,84,100,7.14
321,Opunake,NZ,-39.4556,173.8583,70.34,96,100,13.67
322,Caravelas,BR,-17.7125,-39.2481,76.69,83,95,9.08
323,Hasaki,JP,35.7333,140.8333,48.29,79,96,15.21
324,Isangel,VU,-19.55,169.2667,83.59,70,3,3.87
325,Beaverlodge,CA,55.2166,-119.4361,16.66,83,38,4.05
326,Karakol,KG,42.4907,78.3936,23.31,64,27,7.11
327,Lang Son,VN,21.8333,106.7333,51.28,58,1,2.62
328,Bull Savanna,JM,17.8868,-77.5902,79.48,75,3,12.97
329,Sana,YE,15.3547,44.2067,50.58,32,0,3.49
330,Tessalit,ML,20.1986,1.0114,69.62,17,90,9.31
331,Bara,NG,10.3744,10.7288,76.12,25,99,8.59
332,Gornopravdinsk,RU,60.05,69.9,-12.95,99,90,3.76
333,San Borja,BO,-14.8167,-66.85,71.76,98,100,2.66
334,Keetmanshoop,NA,-26.5833,18.1333,73.42,19,0,5.66
335,Huarmey,PE,-10.0681,-78.1522,69.49,80,94,8.79
336,Mandera,KE,3.9366,41.867,84.56,36,70,5.01
337,Jumla,NP,29.2747,82.1838,32.7,93,45,4.5
338,Road Town,VG,18.4167,-64.6167,80.69,78,40,10.36
339,Ust-Izhora,RU,59.8119,30.5814,5.11,79,75,6.71
340,Bushehr,IR,28.9684,50.8385,69.75,60,0,1.19
341,Shenjiamen,CN,29.9576,122.298,54.59,68,0,12.88
342,Liverpool,GB,53.4106,-2.9779,41.83,86,75,8.99
343,Danville,US,36.586,-79.395,68.65,61,20,9.22
344,Praia Da Vitoria,PT,38.7333,-27.0667,63.75,80,99,9.15
345,Nedjo,ET,9.5046,35.5019,59.4,46,6,1.86
346,Quelimane,MZ,-17.8786,36.8883,82.35,78,0,12.66
347,Salalah,OM,17.0151,54.0924,77.09,31,0,10.36
348,Neuquen,AR,-38.9516,-68.0591,89.76,16,0,19.8
349,Teya,RU,60.3778,92.6267,13.62,97,100,1.61
350,Tighina,MD,46.8306,29.4711,50.27,96,96,6.08
351,Gizo,SB,-8.103,156.8419,82.53,78,100,2.68
352,Mount Isa,AU,-20.7333,139.5,74.97,69,90,4.61
353,Ugoofaaru,MV,5.6667,73.0,81.91,75,20,8.86
354,Neiafu,TO,-18.65,-173.9833,83.08,69,75,5.75
355,Olinda,BR,-8.0089,-34.8553,82.13,69,40,9.22
356,Port Moresby,PG,-9.4431,147.1797,79.86,80,99,4.43
357,Marzuq,YE,14.4,46.4667,59.25,33,6,2.06
358,Witu,KE,-2.3889,40.4382,75.74,88,84,6.33
359,Teahupoo,PF,-17.8333,-149.2667,80.53,77,80,16.55
360,Tasiilaq,GL,65.6145,-37.6368,30.36,78,98,8.88
361,Saint-Georges,GD,12.0564,-61.7485,80.17,72,34,17.56
362,Maragogi,BR,-9.0122,-35.2225,78.89,76,6,7.96
363,Yelovo,RU,57.0538,54.9207,-0.99,88,6,2.86
364,Bengkulu,ID,-3.8004,102.2655,74.97,90,100,4.23
365,Chimbote,PE,-9.0853,-78.5783,69.1,79,99,10.29
366,Peniche,PT,39.3558,-9.3811,60.62,91,73,6.15
367,Port Blair,IN,11.6667,92.75,77.4,69,72,12.35
368,Chipinge,ZW,-20.1883,32.6236,69.44,82,81,1.03
369,Rantepao,ID,-2.9701,119.8978,67.28,97,100,4.36
370,Katsuura,JP,35.1333,140.3,55.18,84,99,15.39
371,Daly City,US,37.7058,-122.4619,55.85,83,90,5.99
372,Najran,SA,17.4924,44.1277,56.43,36,0,1.48
373,Coquimbo,CL,-29.9533,-71.3436,62.4,71,5,5.7
374,Puno,PE,-15.8333,-70.0333,50.79,69,100,10.87
375,Ormara,PK,25.2088,64.6357,72.68,65,0,5.48
376,Necochea,AR,-38.5473,-58.7368,74.03,49,0,16.13
377,Griffith,US,41.5284,-87.4237,30.06,50,1,1.01
378,Sechura,PE,-5.5569,-80.8222,74.46,63,100,16.49
379,San Pedro,PH,14.35,121.0167,73.35,88,24,4.32
380,Jinan,CN,36.6683,116.9972,37.47,66,1,4.18
381,Ajdabiya,LY,30.7554,20.2263,62.42,40,0,24.18
382,Sao Joao Da Barra,BR,-21.6403,-41.0511,72.27,88,100,6.55
383,Bossangoa,CF,6.4926,17.4552,78.57,35,94,2.37
384,Margate,GB,51.3813,1.3862,40.03,82,13,1.99
385,San Policarpo,PH,12.1791,125.5072,80.55,76,98,14.2
386,Kobryn,BY,52.2138,24.3564,29.44,97,100,6.51
387,Aniche,FR,50.33,3.2535,42.19,96,61,12.88
388,Munkebo,DK,55.4618,10.5558,36.18,77,100,21.12
389,Sinop,TR,41.7711,34.8709,49.03,72,2,12.06
390,Vestmanna,FO,62.1564,-7.1664,40.12,87,75,23.02
391,Bima,ID,-8.4667,118.7167,75.65,94,87,3.27
392,Banfora,BF,10.6333,-4.7667,79.65,15,44,4.05
393,Urucara,BR,-2.5364,-57.76,77.49,95,87,1.28
394,Grosseto,IT,42.8333,11.25,47.8,86,2,5.97
